City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Norman Wells,CA,64.44,overcast clouds,65.282,-126.8329,Heritage Hotel
1,Saint George,US,73.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
2,Port Elizabeth,ZA,71.1,clear sky,-33.918,25.5701,39 On Nile Guest House
3,Evensk,RU,59.52,overcast clouds,61.95,159.2333,
4,Kapaa,US,88.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Kaitangata,NZ,53.92,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
6,Ilulissat,GL,53.62,drizzle,69.2167,-51.1,Hotel Arctic
7,Edson,CA,77.14,clear sky,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
8,Handan,CN,85.62,light rain,36.6006,114.4678,Jin Jiang Inn - Handan China South Street Inn
9,Kiama,AU,67.57,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
10,Mataura,NZ,51.48,few clouds,-46.1927,168.8643,Ellie's Villa
11,Madzhalis,RU,70.29,clear sky,42.1217,47.8333,Orlinoye Gnezdo
12,Rikitea,PF,74.68,overcast clouds,-23.1203,-134.9692,People ThankYou
13,Talnakh,RU,75.83,overcast clouds,69.4865,88.3972,Talnakh Hotel
14,Yellowknife,CA,68.52,scattered clouds,62.456,-114.3525,The Explorer Hotel
15,Kodiak,US,62.11,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
16,Praia Da Vitoria,PT,74.75,broken clouds,38.7333,-27.0667,Hotel Branco I
17,Butaritari,KI,82.53,light rain,3.0707,172.7902,Isles Sunset Lodge
18,Mar Del Plata,AR,41.88,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
19,Constitucion,CL,45.03,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
20,Cape Town,ZA,58.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
21,Ushuaia,AR,33.46,light snow,-54.8,-68.3,Albatros Hotel
22,Khatanga,RU,67.35,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
23,Qaanaaq,GL,41.76,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
24,Gatton,AU,69.4,clear sky,-27.55,152.2833,Room Motels Gatton
25,Chardara,KZ,80.08,clear sky,41.2547,67.9692,Жанаргул
26,Jinchang,CN,75.74,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
27,Atuona,PF,77.97,scattered clouds,-9.8,-139.0333,Villa Enata
28,Nuuk,GL,59.61,scattered clouds,64.1835,-51.7216,Vandrehuset
29,Airai,TL,72.52,overcast clouds,-8.9266,125.4092,Juvinal Martin
30,Gimli,CA,79.43,clear sky,50.6336,-96.9907,Lakeview Gimli Resort
31,Svetlogorsk,BY,66.72,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
32,Rongcheng,CN,77.43,heavy intensity rain,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
33,Tuktoyaktuk,CA,51.8,broken clouds,69.4541,-133.0374,End of The Road Ltd.
34,Waingapu,ID,81.1,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
35,Preston,GB,62.74,overcast clouds,53.7667,-2.7167,Legacy Preston International Hotel - managed by Legacy Hotels and Resort
36,Adre,TD,72.81,overcast clouds,13.4667,22.2,
37,Omsukchan,RU,50.99,overcast clouds,62.5333,155.8,Zori
38,Mount Gambier,AU,51.71,overcast clouds,-37.8333,140.7667,The Commodore
39,Sinnamary,GF,78.17,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
40,Busselton,AU,51.04,overcast clouds,-33.65,115.3333,Observatory Guest House
41,Kota Belud,MY,82.26,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
42,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
43,Ribeira Grande,PT,70.83,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
44,Albany,US,77.92,clear sky,42.6001,-73.9662,
45,Kinablangan,PH,86.77,broken clouds,7.6947,126.5503,Danny Moreno Property
46,Dudinka,RU,71.02,overcast clouds,69.4058,86.1778,Hotel Viktoria
47,Saldanha,ZA,55.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
48,Esperance,AU,55.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
49,Montorio Al Vomano,IT,76.78,broken clouds,42.5831,13.6383,Hotel Vomano
50,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
