City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Norman Wells,CA,65.282,-126.8329,64.44,55,90,10.36,overcast clouds
1,Saint George,US,37.1041,-113.5841,73.99,78,1,4.61,clear sky
2,Port Elizabeth,ZA,-33.918,25.5701,71.1,26,0,8.05,clear sky
3,Evensk,RU,61.95,159.2333,59.52,76,87,4.47,overcast clouds
4,Kapaa,US,22.0752,-159.319,88.12,74,1,4.0,clear sky
5,Kaitangata,NZ,-46.2817,169.8464,53.92,49,6,9.19,clear sky
6,Ilulissat,GL,69.2167,-51.1,53.62,58,40,6.91,drizzle
7,Edson,CA,53.5835,-116.4356,77.14,33,1,6.91,clear sky
8,Handan,CN,36.6006,114.4678,85.62,70,7,4.56,light rain
9,Kiama,AU,-34.6833,150.8667,67.57,52,5,8.99,clear sky
10,Mataura,NZ,-46.1927,168.8643,51.48,78,22,4.47,few clouds
11,Madzhalis,RU,42.1217,47.8333,70.29,63,0,4.65,clear sky
12,Rikitea,PF,-23.1203,-134.9692,74.68,79,95,17.6,overcast clouds
13,Talnakh,RU,69.4865,88.3972,75.83,58,100,8.93,overcast clouds
14,Yellowknife,CA,62.456,-114.3525,68.52,52,40,7.0,scattered clouds
15,Kodiak,US,57.79,-152.4072,62.11,63,90,5.75,overcast clouds
16,Praia Da Vitoria,PT,38.7333,-27.0667,74.75,88,75,9.35,broken clouds
17,Butaritari,KI,3.0707,172.7902,82.53,75,30,7.36,light rain
18,Mar Del Plata,AR,-38.0023,-57.5575,41.88,69,0,5.99,light rain
19,Constitucion,CL,-35.3333,-72.4167,45.03,69,0,12.39,clear sky
20,Cape Town,ZA,-33.9258,18.4232,58.12,64,0,1.99,clear sky
21,Ushuaia,AR,-54.8,-68.3,33.46,93,90,6.91,light snow
22,Khatanga,RU,71.9667,102.5,67.35,57,100,18.77,overcast clouds
23,Qaanaaq,GL,77.484,-69.3632,41.76,87,100,8.01,overcast clouds
24,Gatton,AU,-27.55,152.2833,69.4,32,0,2.57,clear sky
25,Chardara,KZ,41.2547,67.9692,80.08,29,0,17.02,clear sky
26,Jinchang,CN,38.4953,102.1739,75.74,29,100,14.14,overcast clouds
27,Atuona,PF,-9.8,-139.0333,77.97,70,38,22.55,scattered clouds
28,Nuuk,GL,64.1835,-51.7216,59.61,63,40,18.41,scattered clouds
29,Airai,TL,-8.9266,125.4092,72.52,28,88,3.98,overcast clouds
30,Gimli,CA,50.6336,-96.9907,79.43,64,1,11.5,clear sky
31,Svetlogorsk,BY,52.6333,29.7333,66.72,59,86,5.46,overcast clouds
32,Rongcheng,CN,30.634,117.8517,77.43,98,100,9.06,heavy intensity rain
33,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,66,75,0.0,broken clouds
34,Waingapu,ID,-9.6567,120.2641,81.1,64,41,9.01,scattered clouds
35,Preston,GB,53.7667,-2.7167,62.74,61,99,0.94,overcast clouds
36,Adre,TD,13.4667,22.2,72.81,79,100,4.92,overcast clouds
37,Omsukchan,RU,62.5333,155.8,50.99,82,100,5.97,overcast clouds
38,Mount Gambier,AU,-37.8333,140.7667,51.71,66,100,17.27,overcast clouds
